Date : 2022-01-05 15:59:52
Directory : c:\Users\brian\code\work\aics-fms-file-explorer-app
Total : 271 files,  52563 codes, 2900 comments, 3520 blanks, all 58983 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
| packages\core\entity\FileSet\test                                                                                                      |          1 |        155 |          1 |         21 |        177 |
| packages\core\entity\FileSort                                                                                                          |          1 |         20 |          4 |          5 |         29 |
| packages\core\entity\NumericRange                                                                                                      |          2 |        505 |         91 |        110 |        706 |
| packages\core\entity\NumericRange\test                                                                                                 |          1 |        352 |         59 |         71 |        482 |
| packages\core\entity\RestServiceResponse                                                                                               |          1 |         28 |          4 |          8 |         40 |
| packages\core\errors                                                                                                                   |          4 |         26 |         10 |          7 |         43 |
| packages\core\hooks                                                                                                                    |          1 |         36 |          4 |          7 |         47 |
| packages\core\icons                                                                                                                    |          1 |          6 |         12 |          3 |         21 |
| packages\core\services                                                                                                                 |         22 |      1,036 |        224 |        226 |      1,486 |
| packages\core\services\AnnotationService                                                                                               |          2 |        245 |         25 |         39 |        309 |
| packages\core\services\AnnotationService\test                                                                                          |          1 |        158 |          4 |         21 |        183 |
| packages\core\services\ApplicationInfoService                                                                                          |          2 |         17 |         12 |          7 |         36 |
| packages\core\services\CsvService                                                                                                      |          1 |         27 |          4 |          7 |         38 |
| packages\core\services\DatasetService                                                                                                  |          2 |        186 |         32 |         41 |        259 |
| packages\core\services\DatasetService\test                                                                                             |          1 |         89 |         11 |         19 |        119 |
| packages\core\services\ExecutionEnvService                                                                                             |          2 |         39 |         44 |         17 |        100 |
| packages\core\services\FileDownloadService                                                                                             |          2 |         49 |         14 |         11 |         74 |
| packages\core\services\FileService                                                                                                     |          2 |        169 |         22 |         30 |        221 |
| packages\core\services\FileService\test                                                                                                |          1 |         84 |          3 |         11 |         98 |
| packages\core\services\FileViewerService                                                                                               |          2 |         10 |         12 |          4 |         26 |
| packages\core\services\HttpServiceBase                                                                                                 |          2 |        220 |         29 |         52 |        301 |
| packages\core\services\HttpServiceBase\test                                                                                            |          1 |         36 |          0 |          8 |         44 |
| packages\core\services\NotificationService                                                                                             |          2 |         17 |         15 |          7 |         39 |
| packages\core\services\PersistentConfigService                                                                                         |          2 |         34 |         15 |         10 |         59 |
| packages\core\state                                                                                                                    |         24 |      5,569 |        694 |        676 |      6,939 |
| packages\core\state\interaction                                                                                                        |          7 |      2,975 |        323 |        293 |      3,591 |
| packages\core\state\interaction\test                                                                                                   |          2 |      1,561 |        103 |        130 |      1,794 |
| packages\core\state\metadata                                                                                                           |          7 |        318 |         41 |         57 |        416 |
| packages\core\state\metadata\test                                                                                                      |          2 |        145 |          9 |         19 |        173 |
| packages\core\state\selection                                                                                                          |          8 |      2,144 |        327 |        292 |      2,763 |
| packages\core\state\selection\test                                                                                                     |          3 |      1,258 |        139 |        163 |      1,560 |
| packages\core\styles                                                                                                                   |          3 |        105 |          1 |         32 |        138 |
| packages\core\util                                                                                                                     |          2 |         32 |         17 |         15 |         64 |
| packages\core\util\test                                                                                                                |          1 |         21 |          9 |         11 |         41 |
| packages\desktop                                                                                                                       |         34 |      2,368 |        307 |        406 |      3,081 |
| packages\desktop\scripts                                                                                                               |          3 |         84 |         20 |         15 |        119 |
| packages\desktop\src                                                                                                                   |         24 |      1,974 |        273 |        369 |      2,616 |
| packages\desktop\src\main                                                                                                              |          6 |        182 |         26 |         39 |        247 |
| packages\desktop\src\main\menu                                                                                                         |          3 |         88 |          3 |         14 |        105 |
| packages\desktop\src\renderer                                                                                                          |          1 |        101 |          4 |         12 |        117 |
| packages\desktop\src\services                                                                                                          |         16 |      1,676 |        239 |        314 |      2,229 |
| packages\desktop\src\services\file-viewer-strategy                                                                                     |          5 |        136 |         56 |         34 |        226 |
| packages\desktop\src\services\test                                                                                                     |          5 |        816 |        129 |        178 |      1,123 |
| packages\desktop\src\util                                                                                                              |          1 |         15 |          4 |          4 |         23 |
| packages\desktop\webpack                                                                                                               |          5 |        220 |          7 |         20 |        247 |
| packages\web                                                                                                                           |         11 |        282 |         14 |         45 |        341 |
| packages\web\scripts                                                                                                                   |          3 |         69 |          6 |         20 |         95 |
| packages\web\src                                                                                                                       |          2 |         19 |          0 |          6 |         25 |
| packages\web\src\test                                                                                                                  |          1 |          6 |          0 |          2 |          8 |
| packages\web\webpack                                                                                                                   |          4 |        153 |          5 |         17 |        175 |
| scripts                                                                                                                                |          4 |         57 |         19 |         16 |         92 |
+----------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+----------------------------------------------------------------------------------------------------------------------------------------+------------------+------------+------------+------------+------------+
| filename                                                                                                                               | language         | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------------------------------------------------+------------------+------------+------------+------------+------------+
| c:\Users\brian\code\work\aics-fms-file-explorer-app\.eslintrc.js                                                                       | JavaScript       |         29 |          0 |          1 |         30 |
| c:\Users\brian\code\work\aics-fms-file-explorer-app\.github\workflows\integration.yml                                                  | YAML             |         23 |          2 |          5 |         30 |
| c:\Users\brian\code\work\aics-fms-file-explorer-app\.github\workflows\release.yml                                                      | YAML             |         30 |          3 |          6 |         39 |
| c:\Users\brian\code\work\aics-fms-file-explorer-app\CONTRIBUTING.md                                                                    | Markdown         |         19 |          0 |          8 |         27 |
| c:\Users\brian\code\work\aics-fms-file-explorer-app\Dockerfile                                                                         | Docker           |         30 |          6 |          5 |         41 |
| c:\Users\brian\code\work\aics-fms-file-explorer-app\Jenkinsfile                                                                        | Groovy           |        115 |         16 |         17 |        148 |
| c:\Users\brian\code\work\aics-fms-file-explorer-app\README.md                                                                          | Markdown         |         14 |          0 |          6 |         20 |
| c:\Users\brian\code\work\aics-fms-file-explorer-app\babel.config.json                                                                  | JSON             |         21 |          0 |          1 |         22 |
| c:\Users\brian\code\work\aics-fms-file-explorer-app\dev-docs\01-project-layout.md                                                      | Markdown         |         20 |          0 |          7 |         27 |
| c:\Users\brian\code\work\aics-fms-file-explorer-app\dev-docs\02-setup-and-workflow.md                                                  | Markdown         |         45 |          0 |         17 |         62 |
| c:\Users\brian\code\work\aics-fms-file-explorer-app\dev-docs\03-using-localhost-datasource.md                                          | Markdown         |         13 |          0 |          3 |         16 |
| c:\Users\brian\code\work\aics-fms-file-explorer-app\dev-docs\04-versioning-and-deployment.md                                           | Markdown         |         15 |          0 |          4 |         19 |
| c:\Users\brian\code\work\aics-fms-file-explorer-app\dev-docs\05-code-signing.md                                                        | Markdown         |         16 |          0 |          6 |         22 |
| c:\Users\brian\code\work\aics-fms-file-explorer-app\dev-docs\06-monitoring-metrics-tracking.md                                         | Markdown         |         11 |          0 |          4 |         15 |
| c:\Users\brian\code\work\aics-fms-file-explorer-app\docs\index.html                                                                    | HTML             |        134 |          4 |         18 |        156 |
| c:\Users\brian\code\work\aics-fms-file-explorer-app\docs\js\scripts.js                                                                 | JavaScript       |        249 |         17 |         21 |        287 |
| c:\Users\brian\code\work\aics-fms-file-explorer-app\docs\styles.css                                                                    | CSS              |        178 |         12 |         50 |        240 |
| c:\Users\brian\code\work\aics-fms-file-explorer-app\package-lock.json                                                                  | JSON             |     30,511 |          0 |          1 |     30,512 |
| c:\Users\brian\code\work\aics-fms-file-explorer-app\package.json                                                                       | JSON             |         95 |          0 |          1 |         96 |
| c:\Users\brian\code\work\aics-fms-file-explorer-app\packages\core\.mocharc.js                                                          | JavaScript       |         11 |          0 |          2 |         13 |
| c:\Users\brian\code\work\aics-fms-file-explorer-app\packages\core\App.module.css                                                       | CSS              |         89 |          5 |         18 |        112 |
| c:\Users\brian\code\work\aics-fms-file-explorer-app\packages\core\App.tsx                                                              | TypeScript React |         75 |         10 |         13 |         98 |
| c:\Users\brian\code\work\aics-fms-file-explorer-app\packages\core\components\AggregateInfoBox\AggregateInfoBox.module.css              | CSS              |         31 |          1 |          6 |         38 |
| c:\Users\brian\code\work\aics-fms-file-explorer-app\packages\core\components\AggregateInfoBox\index.tsx                                | TypeScript React |        102 |          7 |          8 |        117 |
| c:\Users\brian\code\work\aics-fms-file-explorer-app\packages\core\components\AggregateInfoBox\test\AggregateInfoBox.test.tsx           | TypeScript React |        113 |         10 |         23 |        146 |
| c:\Users\brian\code\work\aics-fms-file-explorer-app\packages\core\components\AnnotationFilterForm\index.tsx                            | TypeScript React |         76 |          9 |         12 |         97 |
| c:\Users\brian\code\work\aics-fms-file-explorer-app\packages\core\components\AnnotationFilterForm\test\AnnotationFilterForm.test.tsx   | TypeScript React |        297 |         35 |         59 |        391 |
| c:\Users\brian\code\work\aics-fms-file-explorer-app\packages\core\components\AnnotationFilterForm\useAnnotationValues.ts               | TypeScript       |         41 |          9 |          7 |         57 |
| c:\Users\brian\code\work\aics-fms-file-explorer-app\packages\core\components\AnnotationHierarchy\AnnotationHierarchy.module.css        | CSS              |         20 |          4 |          6 |         30 |
| c:\Users\brian\code\work\aics-fms-file-explorer-app\packages\core\components\AnnotationHierarchy\HierarchyListItem.module.css          | CSS              |         13 |          0 |          4 |         17 |
| c:\Users\brian\code\work\aics-fms-file-explorer-app\packages\core\components\AnnotationHierarchy\HierarchyListItem.tsx                 | TypeScript React |         33 |          3 |          6 |         42 |
| c:\Users\brian\code\work\aics-fms-file-explorer-app\packages\core\components\AnnotationHierarchy\index.tsx                             | TypeScript React |         31 |          4 |          7 |         42 |
| c:\Users\brian\code\work\aics-fms-file-explorer-app\packages\core\components\AnnotationList\AnnotationList.module.css                  | CSS              |         75 |          8 |         20 |        103 |
| c:\Users\brian\code\work\aics-fms-file-explorer-app\packages\core\components\AnnotationList\AnnotationListItem.module.css              | CSS              |         21 |          0 |          4 |         25 |
| c:\Users\brian\code\work\aics-fms-file-explorer-app\packages\core\components\AnnotationList\AnnotationListItem.tsx                     | TypeScript React |         50 |          7 |          8 |         65 |
| c:\Users\brian\code\work\aics-fms-file-explorer-app\packages\core\components\AnnotationList\index.tsx                                  | TypeScript React |        101 |         13 |         14 |        128 |
| c:\Users\brian\code\work\aics-fms-file-explorer-app\packages\core\components\AnnotationList\test\AnnotationList.test.tsx               | TypeScript React |        170 |         23 |         20 |        213 |
| c:\Users\brian\code\work\aics-fms-file-explorer-app\packages\core\components\AnnotationSidebar\AnnotationFilter.tsx                    | TypeScript React |         59 |          9 |         12 |         80 |
| c:\Users\brian\code\work\aics-fms-file-explorer-app\packages\core\components\AnnotationSidebar\AnnotationSidebar.module.css            | CSS              |         11 |          3 |          3 |         17 |
| c:\Users\brian\code\work\aics-fms-file-explorer-app\packages\core\components\AnnotationSidebar\index.tsx                               | TypeScript React |         45 |         11 |         11 |         67 |
| c:\Users\brian\code\work\aics-fms-file-explorer-app\packages\core\components\AnnotationSidebar\selectors.ts                            | TypeScript       |         52 |          1 |          4 |         57 |
| c:\Users\brian\code\work\aics-fms-file-explorer-app\packages\core\components\AnnotationSidebar\test\selectors.test.ts                  | TypeScript       |         82 |          0 |         14 |         96 |
| c:\Users\brian\code\work\aics-fms-file-explorer-app\packages\core\components\ContextMenu\index.tsx                                     | TypeScript React |         31 |          4 |          5 |         40 |
| c:\Users\brian\code\work\aics-fms-file-explorer-app\packages\core\components\ContextMenu\items.ts                                      | TypeScript       |         98 |          8 |          5 |        111 |
| c:\Users\brian\code\work\aics-fms-file-explorer-app\packages\core\components\ContextMenu\test\ContextMenu.test.tsx                     | TypeScript React |         51 |          7 |         10 |         68 |
| c:\Users\brian\code\work\aics-fms-file-explorer-app\packages\core\components\DirectoryTree\DirectoryTree.module.css                    | CSS              |         40 |          0 |          9 |         49 |
| c:\Users\brian\code\work\aics-fms-file-explorer-app\packages\core\components\DirectoryTree\DirectoryTreeNode.module.css                | CSS              |         49 |          3 |         12 |         64 |
| c:\Users\brian\code\work\aics-fms-file-explorer-app\packages\core\components\DirectoryTree\DirectoryTreeNode.tsx                       | TypeScript React |         78 |         13 |         12 |        103 |
| c:\Users\brian\code\work\aics-fms-file-explorer-app\packages\core\components\DirectoryTree\DirectoryTreeNodeHeader.tsx                 | TypeScript React |         97 |         16 |         15 |        128 |
| c:\Users\brian\code\work\aics-fms-file-explorer-app\packages\core\components\DirectoryTree\RootLoadingIndicator.module.css             | CSS              |         19 |          0 |          3 |         22 |
| c:\Users\brian\code\work\aics-fms-file-explorer-app\packages\core\components\DirectoryTree\RootLoadingIndicator.tsx                    | TypeScript React |         20 |          0 |          4 |         24 |
| c:\Users\brian\code\work\aics-fms-file-explorer-app\packages\core\components\DirectoryTree\directory-hierarchy-state.ts                | TypeScript       |         65 |         23 |         11 |         99 |
| c:\Users\brian\code\work\aics-fms-file-explorer-app\packages\core\components\DirectoryTree\index.tsx                                   | TypeScript React |         64 |         19 |         10 |         93 |
| c:\Users\brian\code\work\aics-fms-file-explorer-app\packages\core\components\DirectoryTree\selectors.ts                                | TypeScript       |          8 |          0 |          3 |         11 |
| c:\Users\brian\code\work\aics-fms-file-explorer-app\packages\core\components\DirectoryTree\test\DirectoryTree.test.tsx                 | TypeScript React |        367 |         43 |         68 |        478 |
| c:\Users\brian\code\work\aics-fms-file-explorer-app\packages\core\components\DirectoryTree\test\utils.test.ts                          | TypeScript       |         55 |          3 |          5 |         63 |
| c:\Users\brian\code\work\aics-fms-file-explorer-app\packages\core\components\DirectoryTree\useDirectoryHierarchy.tsx                   | TypeScript React |        223 |         36 |         31 |        290 |
| c:\Users\brian\code\work\aics-fms-file-explorer-app\packages\core\components\DnDList\DnDList.module.css                                | CSS              |         14 |          4 |          4 |         22 |
| c:\Users\brian\code\work\aics-fms-file-explorer-app\packages\core\components\DnDList\DnDList.tsx                                       | TypeScript React |        101 |          5 |          9 |        115 |
| c:\Users\brian\code\work\aics-fms-file-explorer-app\packages\core\components\DnDList\DnDListItem.module.css                            | CSS              |         22 |          5 |          5 |         32 |
| c:\Users\brian\code\work\aics-fms-file-explorer-app\packages\core\components\DnDList\DnDListItem.tsx                                   | TypeScript React |         31 |          3 |          6 |         40 |
| c:\Users\brian\code\work\aics-fms-file-explorer-app\packages\core\components\DnDList\index.tsx                                         | TypeScript React |          2 |          0 |          1 |          3 |
| c:\Users\brian\code\work\aics-fms-file-explorer-app\packages\core\components\FileDetails\Download.tsx                                  | TypeScript React |         56 |          5 |         10 |         71 |
| c:\Users\brian\code\work\aics-fms-file-explorer-app\packages\core\components\FileDetails\FileAnnotationList.module.css                 | CSS              |         10 |          2 |          3 |         15 |
| c:\Users\brian\code\work\aics-fms-file-explorer-app\packages\core\components\FileDetails\FileAnnotationList.tsx                        | TypeScript React |         66 |          8 |         10 |         84 |
| c:\Users\brian\code\work\aics-fms-file-explorer-app\packages\core\components\FileDetails\FileAnnotationRow.module.css                  | CSS              |         22 |          4 |          7 |         33 |
| c:\Users\brian\code\work\aics-fms-file-explorer-app\packages\core\components\FileDetails\FileAnnotationRow.tsx                         | TypeScript React |         50 |          4 |          7 |         61 |
| c:\Users\brian\code\work\aics-fms-file-explorer-app\packages\core\components\FileDetails\FileDetails.module.css                        | CSS              |        115 |          5 |         28 |        148 |
| c:\Users\brian\code\work\aics-fms-file-explorer-app\packages\core\components\FileDetails\Pagination.module.css                         | CSS              |          4 |          0 |          1 |          5 |
| c:\Users\brian\code\work\aics-fms-file-explorer-app\packages\core\components\FileDetails\Pagination.tsx                                | TypeScript React |         89 |          3 |          7 |         99 |
| c:\Users\brian\code\work\aics-fms-file-explorer-app\packages\core\components\FileDetails\index.tsx                                     | TypeScript React |        173 |         14 |         18 |        205 |
| c:\Users\brian\code\work\aics-fms-file-explorer-app\packages\core\components\FileDetails\test\Download.test.tsx                        | TypeScript React |         93 |         12 |         17 |        122 |
| c:\Users\brian\code\work\aics-fms-file-explorer-app\packages\core\components\FileDetails\test\FileAnnotationList.test.tsx              | TypeScript React |         60 |          4 |          6 |         70 |
| c:\Users\brian\code\work\aics-fms-file-explorer-app\packages\core\components\FileDetails\test\FileDetails.test.tsx                     | TypeScript React |         49 |          7 |         13 |         69 |
| c:\Users\brian\code\work\aics-fms-file-explorer-app\packages\core\components\FileDetails\useFileDetails.ts                             | TypeScript       |         38 |          8 |          9 |         55 |
| c:\Users\brian\code\work\aics-fms-file-explorer-app\packages\core\components\FileDetails\windowStateReducer.ts                         | TypeScript       |         29 |         13 |          5 |         47 |
| c:\Users\brian\code\work\aics-fms-file-explorer-app\packages\core\components\FileExplorerURLBar\FileExplorerURLBar.module.css          | CSS              |         24 |          1 |          6 |         31 |
| c:\Users\brian\code\work\aics-fms-file-explorer-app\packages\core\components\FileExplorerURLBar\index.tsx                              | TypeScript React |        133 |         14 |         14 |        161 |
| c:\Users\brian\code\work\aics-fms-file-explorer-app\packages\core\components\FileExplorerURLBar\test\FileExplorerURLBar.test.tsx       | TypeScript React |         42 |          8 |         11 |         61 |
| c:\Users\brian\code\work\aics-fms-file-explorer-app\packages\core\components\FileList\FileList.module.css                              | CSS              |         19 |          1 |          5 |         25 |
| c:\Users\brian\code\work\aics-fms-file-explorer-app\packages\core\components\FileList\FileListColumnPicker.tsx                         | TypeScript React |         30 |          4 |          9 |         43 |
| c:\Users\brian\code\work\aics-fms-file-explorer-app\packages\core\components\FileList\Header.module.css                                | CSS              |         39 |          5 |         10 |         54 |
| c:\Users\brian\code\work\aics-fms-file-explorer-app\packages\core\components\FileList\Header.tsx                                       | TypeScript React |        103 |          7 |         11 |        121 |
| c:\Users\brian\code\work\aics-fms-file-explorer-app\packages\core\components\FileList\LazilyRenderedRow.module.css                     | CSS              |         11 |          1 |          3 |         15 |
| c:\Users\brian\code\work\aics-fms-file-explorer-app\packages\core\components\FileList\LazilyRenderedRow.tsx                            | TypeScript React |         69 |          7 |         13 |         89 |
| c:\Users\brian\code\work\aics-fms-file-explorer-app\packages\core\components\FileList\index.tsx                                        | TypeScript React |        120 |         15 |         18 |        153 |
| c:\Users\brian\code\work\aics-fms-file-explorer-app\packages\core\components\FileList\test\Header.test.tsx                             | TypeScript React |        164 |         12 |         14 |        190 |
| c:\Users\brian\code\work\aics-fms-file-explorer-app\packages\core\components\FileList\test\LazilyRenderedRow.test.tsx                  | TypeScript React |         73 |          6 |         13 |         92 |
| c:\Users\brian\code\work\aics-fms-file-explorer-app\packages\core\components\FileList\useFileAccessContextMenu.ts                      | TypeScript       |         91 |          9 |          7 |        107 |
| c:\Users\brian\code\work\aics-fms-file-explorer-app\packages\core\components\FileList\useFileSelector.ts                               | TypeScript       |         48 |         13 |          7 |         68 |
| c:\Users\brian\code\work\aics-fms-file-explorer-app\packages\core\components\FileMetadataSearchBar\FileMetadataSearchBar.module.css    | CSS              |         29 |          0 |          7 |         36 |
| c:\Users\brian\code\work\aics-fms-file-explorer-app\packages\core\components\FileMetadataSearchBar\index.tsx                           | TypeScript React |        141 |         10 |         13 |        164 |
| c:\Users\brian\code\work\aics-fms-file-explorer-app\packages\core\components\FileMetadataSearchBar\test\FileMetadataSearchBar.test.tsx | TypeScript React |        143 |         18 |         21 |        182 |
| c:\Users\brian\code\work\aics-fms-file-explorer-app\packages\core\components\FileRow\Cell.module.css                                   | CSS              |         36 |          0 |          7 |         43 |
| c:\Users\brian\code\work\aics-fms-file-explorer-app\packages\core\components\FileRow\Cell.tsx                                          | TypeScript React |        175 |         31 |         38 |        244 |
| c:\Users\brian\code\work\aics-fms-file-explorer-app\packages\core\components\FileRow\FileRow.module.css                                | CSS              |          4 |          1 |          0 |          5 |
| c:\Users\brian\code\work\aics-fms-file-explorer-app\packages\core\components\FileRow\index.tsx                                         | TypeScript React |         47 |          5 |          9 |         61 |
| c:\Users\brian\code\work\aics-fms-file-explorer-app\packages\core\components\FileThumbnail\FileThumbnail.module.css                    | CSS              |          6 |          0 |          1 |          7 |
| c:\Users\brian\code\work\aics-fms-file-explorer-app\packages\core\components\FileThumbnail\index.tsx                                   | TypeScript React |          8 |          3 |          4 |         15 |
| c:\Users\brian\code\work\aics-fms-file-explorer-app\packages\core\components\FilterDisplayBar\FilterDisplayBar.module.css              | CSS              |         21 |          4 |          6 |         31 |
| c:\Users\brian\code\work\aics-fms-file-explorer-app\packages\core\components\FilterDisplayBar\FilterMedallion.module.css               | CSS              |         40 |          2 |         10 |         52 |
| c:\Users\brian\code\work\aics-fms-file-explorer-app\packages\core\components\FilterDisplayBar\FilterMedallion.tsx                      | TypeScript React |         89 |          8 |         12 |        109 |
| c:\Users\brian\code\work\aics-fms-file-explorer-app\packages\core\components\FilterDisplayBar\index.tsx                                | TypeScript React |         43 |          4 |          8 |         55 |
