Date : 2022-01-05 15:59:52
Directory : c:\Users\brian\code\work\aics-fms-file-explorer-app
Total : 271 files,  52563 codes, 2900 comments, 3520 blanks, all 58983 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
+------------------+------------+------------+------------+------------+------------+
| JSON             |          6 |     30,768 |          0 |          5 |     30,773 |
| TypeScript       |        117 |     12,609 |      2,032 |      1,993 |     16,634 |
| TypeScript React |         69 |      6,367 |        667 |        941 |      7,975 |
| CSS              |         38 |      1,290 |         82 |        307 |      1,679 |
| JavaScript       |         22 |        857 |         84 |        111 |      1,052 |
| Markdown         |         11 |        315 |          0 |        107 |        422 |
| HTML             |          3 |        156 |          4 |         18 |        178 |
| Groovy           |          1 |        115 |         16 |         17 |        148 |
| YAML             |          2 |         53 |          5 |         11 |         69 |
| Docker           |          1 |         30 |          6 |          5 |         41 |
| Shell Script     |          1 |          3 |          4 |          5 |         12 |
+------------------+------------+------------+------------+------------+------------+

Directories
+----------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                   | files      | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                      |        271 |     52,563 |      2,900 |      3,520 |     58,983 |
| .github                                                                                                                                |          2 |         53 |          5 |         11 |         69 |
| .github\workflows                                                                                                                      |          2 |         53 |          5 |         11 |         69 |
| dev-docs                                                                                                                               |          6 |        120 |          0 |         41 |        161 |
| docs                                                                                                                                   |          3 |        561 |         33 |         89 |        683 |
| docs\js                                                                                                                                |          1 |        249 |         17 |         21 |        287 |
| packages                                                                                                                               |        247 |     20,920 |      2,821 |      3,323 |     27,064 |
| packages\core                                                                                                                          |        202 |     18,270 |      2,500 |      2,872 |     23,642 |
| packages\core\components                                                                                                               |        114 |      7,868 |        817 |      1,236 |      9,921 |
| packages\core\components\AggregateInfoBox                                                                                              |          3 |        246 |         18 |         37 |        301 |
| packages\core\components\AggregateInfoBox\test                                                                                         |          1 |        113 |         10 |         23 |        146 |
| packages\core\components\AnnotationFilterForm                                                                                          |          3 |        414 |         53 |         78 |        545 |
| packages\core\components\AnnotationFilterForm\test                                                                                     |          1 |        297 |         35 |         59 |        391 |
| packages\core\components\AnnotationHierarchy                                                                                           |          4 |         97 |         11 |         23 |        131 |
| packages\core\components\AnnotationList                                                                                                |          5 |        417 |         51 |         66 |        534 |
| packages\core\components\AnnotationList\test                                                                                           |          1 |        170 |         23 |         20 |        213 |
| packages\core\components\AnnotationSidebar                                                                                             |          5 |        249 |         24 |         44 |        317 |
| packages\core\components\AnnotationSidebar\test                                                                                        |          1 |         82 |          0 |         14 |         96 |
| packages\core\components\ContextMenu                                                                                                   |          3 |        180 |         19 |         20 |        219 |
| packages\core\components\ContextMenu\test                                                                                              |          1 |         51 |          7 |         10 |         68 |
| packages\core\components\DirectoryTree                                                                                                 |         12 |      1,085 |        156 |        183 |      1,424 |
| packages\core\components\DirectoryTree\test                                                                                            |          2 |        422 |         46 |         73 |        541 |
| packages\core\components\DnDList                                                                                                       |          5 |        170 |         17 |         25 |        212 |
| packages\core\components\FileDetails                                                                                                   |         14 |        854 |         89 |        141 |      1,084 |
| packages\core\components\FileDetails\test                                                                                              |          3 |        202 |         23 |         36 |        261 |
| packages\core\components\FileExplorerURLBar                                                                                            |          3 |        199 |         23 |         31 |        253 |
| packages\core\components\FileExplorerURLBar\test                                                                                       |          1 |         42 |          8 |         11 |         61 |
| packages\core\components\FileList                                                                                                      |         11 |        767 |         80 |        110 |        957 |
| packages\core\components\FileList\test                                                                                                 |          2 |        237 |         18 |         27 |        282 |
| packages\core\components\FileMetadataSearchBar                                                                                         |          3 |        313 |         28 |         41 |        382 |
| packages\core\components\FileMetadataSearchBar\test                                                                                    |          1 |        143 |         18 |         21 |        182 |
| packages\core\components\FileRow                                                                                                       |          4 |        262 |         37 |         54 |        353 |
| packages\core\components\FileThumbnail                                                                                                 |          2 |         14 |          3 |          5 |         22 |
| packages\core\components\FilterDisplayBar                                                                                              |          5 |        338 |         32 |         52 |        422 |
| packages\core\components\FilterDisplayBar\test                                                                                         |          1 |        145 |         14 |         16 |        175 |
| packages\core\components\HeaderRibbon                                                                                                  |          5 |        516 |         34 |         68 |        618 |
| packages\core\components\HeaderRibbon\test                                                                                             |          2 |        146 |         17 |         23 |        186 |
| packages\core\components\ListPicker                                                                                                    |          3 |        215 |         26 |         39 |        280 |
| packages\core\components\ListPicker\test                                                                                               |          1 |         72 |         15 |         16 |        103 |
| packages\core\components\Modal                                                                                                         |         15 |      1,171 |         84 |        168 |      1,423 |
| packages\core\components\Modal\AnnotationSelector                                                                                      |          2 |         89 |          6 |         16 |        111 |
| packages\core\components\Modal\BaseModal                                                                                               |          2 |         97 |         10 |         18 |        125 |
| packages\core\components\Modal\CollectionForm                                                                                          |          3 |        546 |         27 |         64 |        637 |
| packages\core\components\Modal\CollectionForm\test                                                                                     |          1 |        231 |         22 |         32 |        285 |
| packages\core\components\Modal\CsvManifest                                                                                             |          2 |        189 |         13 |         29 |        231 |
| packages\core\components\Modal\CsvManifest\test                                                                                        |          1 |        140 |          9 |         22 |        171 |
| packages\core\components\Modal\PythonSnippet                                                                                           |          3 |        133 |         13 |         21 |        167 |
| packages\core\components\Modal\PythonSnippet\test                                                                                      |          1 |         44 |          4 |          7 |         55 |
| packages\core\components\Modal\test                                                                                                    |          1 |         52 |          6 |          9 |         67 |
| packages\core\components\SearchableDropdown                                                                                            |          3 |        135 |         14 |         20 |        169 |
| packages\core\components\SearchableDropdown\test                                                                                       |          1 |         68 |          7 |         11 |         86 |
| packages\core\components\StatusMessage                                                                                                 |          2 |        111 |          4 |         12 |        127 |
| packages\core\components\SvgIcon                                                                                                       |          2 |         42 |          4 |          7 |         53 |
| packages\core\components\WindowActionButton                                                                                            |          2 |         73 |         10 |         12 |         95 |
| packages\core\constants                                                                                                                |          2 |         69 |          3 |         11 |         83 |
| packages\core\entity                                                                                                                   |         26 |      3,348 |        703 |        626 |      4,677 |
| packages\core\entity\Annotation                                                                                                        |          3 |        226 |         32 |         39 |        297 |
| packages\core\entity\AnnotationFormatter                                                                                               |          8 |        219 |         30 |         54 |        303 |
| packages\core\entity\AnnotationFormatter\test                                                                                          |          1 |         89 |         11 |         26 |        126 |
| packages\core\entity\Annotation\test                                                                                                   |          1 |        123 |          5 |         18 |        146 |
| packages\core\entity\FileDetail                                                                                                        |          2 |         67 |         49 |         15 |        131 |
| packages\core\entity\FileExplorerURL                                                                                                   |          2 |        676 |         68 |         69 |        813 |
| packages\core\entity\FileExplorerURL\test                                                                                              |          1 |        527 |         48 |         53 |        628 |
| packages\core\entity\FileFilter                                                                                                        |          1 |         36 |          4 |          9 |         49 |
| packages\core\entity\FileFolder                                                                                                        |          2 |        262 |         91 |         63 |        416 |
| packages\core\entity\FileFolder\test                                                                                                   |          1 |        179 |         41 |         44 |        264 |
| packages\core\entity\FileSelection                                                                                                     |          2 |      1,034 |        273 |        199 |      1,506 |
| packages\core\entity\FileSelection\test                                                                                                |          1 |        666 |        136 |        132 |        934 |
| packages\core\entity\FileSet                                                                                                           |          2 |        275 |         57 |         55 |        387 |
